Judul Pelatihan,Tipe,Kategori,Durasi (JP),Durasi (UK),Tag
PENGEMBANGAN WEB DENGAN NODE.JS DAN REACT,BLENDED,"Teknologi Informasi dan Komunikasi / IT Software",200,12,SMART
PENGGAMBARAN MEKANIK DENGAN CAD DASAR,BLENDED,"Manufaktur / CNC dan CAD CAM",40,4,Durasi Pendek
PENGOPERASIAN MESIN FRAIS DASAR,BLENDED,"Manufaktur / Mesin Produksi",40,3,Durasi Pendek
PENGECATAN WARNA MATTE PADA KENDARAAN,OFFLINE,"Otomotif / Body Repair",40,4,Durasi Pendek
PENGECATAN WARNA CANDY PADA KENDARAAN,OFFLINE,"Otomotif / Body Repair",40,4,Durasi Pendek
PENGECATAN WARNA BUNGLON PADA KENDARAAN,BLENDED,"Otomotif / Body Repair",40,4,Durasi Pendek
PENYETELAN VELG SPOKE WHEEL SEPEDA MOTOR,OFFLINE,"Otomotif / Sepeda Motor",40,2,Durasi Pendek
BAHASA JEPANG UNTUK PESERTA MAGANG IM JAPAN,OFFLINE,"Bahasa / Bahasa Asing",796,32,Cipta Tekno
PENYEDUHAN TEH ARTISAN (ARTISAN TEA BREWING),OFFLINE,"Pariwisata / Layanan Hotel (Hotel Services)",140,11,Asiacha Perkasa
PERAWATAN SISTEM SUSPENSI KENDARAAN RINGAN,BLENDED,"Otomotif / Kendaraan Ringan",40,6,Durasi Pendek
PEMELIHARAAN TRANSMISI TIPE OTOMATIS,OFFLINE,"Otomotif / Kendaraan Ringan",40,7,Durasi Pendek
PERAWATAN SISTEM PENGAPIAN SEPEDA MOTOR SISTEM ACG,OFFLINE,"Otomotif / Sepeda Motor",40,4,Durasi Pendek
PERAWATAN INSTRUMEN KELISTRIKAN (SISTEM SINYAL DAN PENERANGAN),BLENDED,"Otomotif / Sepeda Motor",40,4,Durasi Pendek
PEMELIHARAAN SISTEM REM PADA KENDARAAN RINGAN,BLENDED,"Otomotif / Kendaraan Ringan",40,3,Durasi Pendek
